Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
"Nêspera, crua",100,"42,54","0,31",Tr,,,,,,NA,"11,53","2,96","19,69","9,72","0,07","10,08","0,15",Tr,"112,85","0,12","0,12",NA,Tr,Tr,Tr,Tr,"3,16"
"Pequi, cru",100,"204,97","2,34","17,97",,,,,,NA,"12,97","19,04","32,44","29,77","0,64","33,75","0,27",Tr,"297,79","0,21","0,96",NA,"0,17","0,48","0,06","2,57","8,28"
"Pêra, Park, crua",100,"60,59","0,24","0,23","0,10",Tr,"0,10","0,05","0,01",NA,"16,07","2,98","8,71","6,12","0,04","11,71","0,32","0,98","102,22","0,08","0,07",NA,"0,06",Tr,Tr,Tr,"2,36"
"Pêra, Williams, crua",100,"53,31","0,57","0,11",,,,,,NA,"14,02","3,01","8,28","5,78","0,04","11,77","0,09",Tr,"115,87","0,07","0,08",NA,Tr,Tr,Tr,Tr,"2,83"
"Pêssego, Aurora, cru",100,"36,33","0,83",Tr,,,,,,NA,"9,32","1,42","3,23","4,44","0,05","15,44","0,22",Tr,"123,79","0,02","0,06",NA,"0,05",Tr,Tr,Tr,"3,25"
"Pêssego, enlatado, em calda",100,"63,14","0,71",Tr,,,,,,NA,"16,88","1,02","4,10","4,04","0,03","8,81","0,60","3,20","94,72","0,04","0,09",NA,Tr,Tr,Tr,Tr,Tr
"Pinha, crua",100,"88,47","1,49","0,32","0,10",Tr,"0,10","0,08","0,04",NA,"22,45","3,36","20,88","30,54","0,15","34,40","0,21","1,34","283,05","0,11","0,24",NA,"0,12","0,04","0,09",Tr,"35,90"
"Pitanga, crua",100,"41,42","0,93","0,17",,,,,,NA,"10,24","3,24","17,88","12,23","0,36","13,14","0,40","1,70","113,44","0,08","0,35",NA,"0,03","0,10",Tr,Tr,"24,87"
"Pitanga, polpa, congelada",100,"19,11","0,29","0,12",,,,,,NA,"4,76","0,74","7,80","6,20","0,05","12,22","0,37","5,03","87,31","0,06","0,09",NA,Tr,Tr,Tr,Tr,Tr
"Romã, crua",100,"55,74","0,40",Tr,,,,,,NA,"15,11","0,44","4,75","12,70","0,13","40,27","0,26","0,59","484,57","0,19","0,67",NA,"0,12","0,17","0,05",Tr,"8,12"
"Tamarindo, cru",100,"275,70","3,21","0,46","0,10","0,20",Tr,"0,02","0,02",NA,"72,53","6,45","37,10","59,11","0,34","54,59","0,55","0,36","722,99","0,29","0,67",NA,"0,31",Tr,"0,10",Tr,"7,25"
"Tangerina, Poncã, crua",100,"37,83","0,85","0,07",,,,,,NA,"9,61","0,94","12,89","7,73","0,04","12,45","0,11",Tr,"131,44","0,03",Tr,NA,"0,06","0,02","0,02",Tr,"48,82"
"Tangerina, Poncã, suco",100,"36,11","0,52",Tr,,,,,,NA,"8,80",Tr,"4,28","6,46","0,02","9,02",Tr,Tr,"119,00","0,02",Tr,NA,"0,06",Tr,"0,03",Tr,"41,75"
"Tucumã, cru",100,"262,02","2,09","19,08","4,69","9,68","0,88","0,30","0,58",NA,"26,47","12,65","46,34","121,01","0,55","52,55","0,57","3,89","401,17","0,39","0,87",NA,"0,04",Tr,"0,11",Tr,"17,99"
"Umbu, cru",100,"37,02","0,84",Tr,,,,,,NA,"9,40","1,98","11,56","11,35","0,03","13,38","0,09",Tr,"151,83","0,04","0,42",NA,"0,05","0,06","0,03",Tr,"24,06"
"Umbu, polpa, congelada",100,"33,94","0,51","0,07",,,,,,NA,"8,79","1,34","10,71","8,12","0,05","12,68","0,21","5,77","153,88","0,04","0,07",NA,Tr,"0,06",Tr,Tr,"3,95"
"Uva, Itália, crua",100,"52,87","0,75","0,20",,,,,,NA,"13,57","0,92","6,66","4,98","0,13","12,12","0,14",Tr,"161,94","0,11",Tr,NA,Tr,Tr,"0,03",Tr,"3,29"
"Uva, Rubi, crua",100,"49,06","0,61","0,16",,,,,,NA,"12,70","0,93","7,62","5,83","0,07","22,79","0,17","7,92","158,89","0,05",Tr,NA,"0,02","0,02",Tr,Tr,"1,86"
"Uva, suco concentrado, envasado",100,"57,66",Tr,Tr,,,,,,NA,"14,71","0,23","9,32","7,06","0,20","10,02","0,12","9,58","53,73","0,13","0,05",NA,"0,07","0,02","0,05",Tr,"20,97"
Gorduras e óleos,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azeite, de dendê",100,"884,00",NA,"100,00","43,10","40,10","16,60","15,69","0,83",NA,NA,NA,,,,,,,,,,NA,,,,,
"Azeite, de oliva, extra virgem",8,"70,72",NA,"8,00","1,19","6,04","0,76","0,70","0,06",NA,NA,NA,,,,,,,,,,NA,,,,,
"Manteiga, com sal","3,5","25,41","0,01","2,88","1,72","0,71","0,04","0,03","0,01","7,02","0,00",NA,"0,33","0,05",Tr,"0,97","0,01","20,25","0,52",Tr,Tr,"32,32",Tr,Tr,Tr,Tr,Tr
"Manteiga, sem sal","3,5","26,51","0,01","3,01","1,80","0,77","0,05","0,04","0,01","7,49","0,00",NA,"0,13","0,05",Tr,"0,25",Tr,"0,13","0,18","0,00",Tr,"35,46",Tr,Tr,Tr,Tr,Tr
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",100,"596,12",Tr,"67,43","14,90","18,20","21,40","19,48","1,74",NA,"0,00",NA,"5,56","1,13",Tr,"7,26","0,09","894,04","21,42",Tr,Tr,"462,12",Tr,Tr,Tr,Tr,Tr
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",100,"722,53",Tr,"81,73",,,,,,NA,"0,00",NA,"2,60","0,54",Tr,"3,75","0,05","77,89","1,77",Tr,Tr,"534,38",Tr,Tr,Tr,Tr,Tr
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",100,"594,45",Tr,"67,25","21,90","15,00","27,60","24,85","2,64",NA,"0,00",NA,"4,54","1,23",Tr,"5,97",Tr,"560,80","14,71",Tr,Tr,"385,39",Tr,Tr,Tr,Tr,Tr
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",100,"593,14",Tr,"67,10","20,90","14,40","26,50","23,79","2,58",NA,"0,00",NA,"4,96","1,15",Tr,"7,16","0,08","33,19","4,73",Tr,Tr,"245,10",Tr,Tr,Tr,Tr,Tr
"Óleo, de babaçu",100,"884,00",NA,"100,00","50,90","18,60","30,20","27,17","2,86",NA,NA,NA,,,,,,,,,,NA,,,,,
"Óleo, de canola",100,"884,00",NA,"100,00","7,90","62,60","28,40","20,87","6,78",NA,NA,NA,,,,,,,,,,NA,,,,,
"Óleo, de girassol",100,"884,00",NA,"100,00","10,80","25,40","62,60","62,22","0,39",NA,NA,NA,,,,,,,,,,NA,,,,,
"Óleo, de milho",100,"884,00",NA,"100,00","15,20","33,40","50,90","49,94","0,96",NA,NA,NA,,,,,,,,,,NA,,,,,
"Óleo, de pequi",100,"884,00",NA,"100,00","39,90","55,80","4,20","3,74","0,51",NA,NA,NA,,,,,,,,,,NA,,,,,
"Óleo, de soja",100,"884,00",NA,"100,00","15,20","23,30","60,00","53,85","5,72",NA,NA,NA,,,,,,,,,,NA,,,,,
Pescados e frutos do mar,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abadejo, filé, congelado, assado",100,"111,62","23,53","1,24","0,57","0,35","0,15","0,02","0,13","102,80","0,00",NA,"22,61","20,25",Tr,"337,86","52,60","334,39","155,64","0,03","0,51",Tr,Tr,Tr,Tr,"0,44",
"Abadejo, filé, congelado,cozido",100,"91,10","19,35","0,94","0,38","0,26","0,17","0,03","0,15","86,86","0,00",NA,"16,73","15,74",Tr,"350,70","32,73","189,34","145,67","0,03","0,44",Tr,Tr,Tr,Tr,Tr,
"Abadejo, filé, congelado, cru",100,"59,11","13,08","0,36","0,10",Tr,"0,10","0,01","0,09","31,41","0,00",NA,"10,17","14,50","0,01","90,54","10,60","78,52","148,35","0,14","0,39",Tr,"3,67",Tr,Tr,"4,60",
"Abadejo, filé, congelado, grelhado",100,"129,64","27,61","1,30","0,55","0,32","0,56","0,02","0,54","135,85","0,00",NA,"20,17","22,11",Tr,"581,13","32,90","305,09","278,64",Tr,"0,44","5,69","3,00",Tr,Tr,"0,44",
"Atum, conserva em óleo",100,"165,91","26,19","6,00","1,00","1,30","3,20","2,71","0,51","52,94","0,00",NA,"6,52","29,48",Tr,"211,01","122,98","362,15","279,86","0,04","0,59",Tr,"15,33","3,00",Tr,"3,17",
"Atum, fresco, cru",100,"117,50","25,68","0,87","0,50","0,20",Tr,"0,01","0,02","47,80","0,00",NA,"6,69","32,23",Tr,"253,86","127,33","30,30","307,76","0,09","0,40","20,30",Tr,"4,00",Tr,"5,94",
"Bacalhau, salgado, cru",100,"135,89","29,04","1,32","0,60","0,30","0,20","0,05","0,16","138,88","0,00",NA,"156,97","49,47","0,03","186,21","85,33","13585,06","433,90","0,09","0,67",Tr,Tr,"21,00",Tr,*,
"Bacalhau, salgado, refogado",100,"139,66","23,98","3,61","0,90","1,10","1,20","1,08","0,15","111,97","1,22",*,"59,12","15,06",Tr,"51,34","15,27","1256,28","50,22","0,04","0,56",Tr,"3,33","5,00",Tr,"5,17",Tr
"Cação, posta, com farinha de trigo, frita",100,"208,33","24,95","9,95","1,50","2,21","5,22","4,64","0,56","74,91","3,10","0,54","30,44","25,51","0,06","461,57","99,83","160,03","419,89",Tr,"0,55","17,38",Tr,Tr,Tr,"0,77",
"Cação, posta, cozida",100,"116,01","25,59","0,75","0,20","0,10","0,20","0,03","0,14","83,25","0,00",NA,"10,32","21,12",Tr,"203,71","31,70","114,91","248,64","0,03","0,61","11,62",Tr,"4,00",Tr,"9,77",
"Cação, posta, crua",100,"83,33","17,85","0,79","0,10","0,10","0,20","0,02","0,14","36,13","0,00",NA,"8,70","19,30","0,04","181,45","20,40","176,02","299,02","0,13","0,32","6,00","3,67",Tr,Tr,"1,31",
"Camarão, Rio Grande, grande, cozido",100,"90,01","18,97","1,00","0,40","0,20","0,20","0,07","0,18","240,85","0,00",NA,"89,74","18,91","0,06","265,85","127,80","366,55","101,74","0,17","1,24",Tr,Tr,Tr,Tr,"1,07",
"Camarão, Rio Grande, grande, cru",100,"47,18","9,99","0,50","0,10","0,10","0,20","0,04","0,09","123,99","0,00",NA,"51,12","27,37","0,04","233,92","66,87","201,13","72,01","0,11","0,71","20,00",Tr,Tr,Tr,Tr,
"Camarão, Sete Barbas, sem cabeça, com casca, frito",100,"231,25","18,39","15,62","2,47","3,61","8,83","7,81","1,01","283,14","2,88",NA,"959,70","73,97","0,38","336,99","243,90","99,06","106,77","0,19","1,10",Tr,"0,05",Tr,Tr,"0,35",
"Caranguejo, cozido",100,"82,72","18,48","0,42","0,20","0,20",Tr,"0,03",,"84,61","0,00",NA,"357,15","52,23","0,07","153,69","286,17","360,11","185,83","0,72","5,65",Tr,"0,04","0,31",Tr,"4,17",Tr
"Corimba, cru",100,"128,16","17,37","5,99","2,50","2,30","0,30","0,12","0,20","40,23","-0,03",NA,"40,05","22,77","0,02","190,07","50,33","47,01","316,74","0,03","0,40",Tr,Tr,Tr,Tr,"1,87",
"Corimbatá, assado",100,"261,45","19,90","19,57","4,80","6,39","2,58","0,59","1,59","80,09","0,00",NA,"22,30","24,21","0,01","220,64","97,13","40,43","326,50","0,03","0,75",Tr,"0,13","0,06",Tr,"2,70",
"Corimbatá, cozido",100,"238,70","20,13","16,93","4,45","6,47","2,28","0,37","1,71","74,62","0,00",NA,"64,69","22,83","0,02","185,27","62,27","37,17","253,99","0,05","0,95",Tr,Tr,Tr,Tr,"2,09",
"Corvina de água doce, crua",100,"101,01","18,92","2,24","1,20","0,70","0,10","0,06","0,04","73,11","0,00",NA,"39,43","24,50","0,02","153,82","25,67","45,09","293,02","0,02","0,36","8,12",Tr,"0,08",Tr,*,
"Corvina do mar, crua",100,"94,00","18,57","1,58","0,70","0,50","0,10","0,03","0,12","67,07","0,00",NA,*,"23,75","0,01","183,08","37,67","67,97","338,70","0,03","0,36","65,02","0,12","0,05",Tr,"2,62",
"Corvina grande, assada",100,"146,53","26,77","3,57","1,50","1,20","0,30","0,07","0,14","117,05","0,00",NA,"60,23","24,10","0,03","175,90","53,83","85,35","291,46","0,02","0,67",Tr,"0,11","0,10",Tr,"4,23",
"Corvina grande, cozida",100,"100,08","23,44","2,56","0,75","0,62","0,63","0,11","0,49","122,56","0,00",NA,"69,37","22,22","0,02","163,56","57,87","68,39","194,04","0,03","0,69","6,28",Tr,"0,03",Tr,"0,77",
"Dourada de água doce, fresca",100,"131,21","18,81","5,64","2,97","1,42","0,36","0,20","0,09","51,99","0,00",NA,"12,13","26,26","0,01","189,27","15,20","40,30","392,51","0,02","0,48",Tr,Tr,Tr,Tr,"3,70",
"Lambari, congelado, cru",100,"130,84","16,81","6,55","2,00","2,20","1,20","0,70","0,54","158,66","0,00",NA,"1181,28","44,69","0,28","696,15","90,57","47,92","244,40","0,09","3,34","4,31","0,05",Tr,Tr,"3,30",
"Lambari, congelado, frito",100,"326,87","28,43","22,78","5,50","7,00","8,10","6,77","1,12","246,32","0,00",NA,"1881,04","66,29","0,34","1067,28","81,33","64,55","331,17","0,31","5,63","9,45","0,25","0,03","0,04","8,93",
"Lambari, fresco, cru",100,"151,60","15,65","9,40","3,40","3,28","1,10","0,69","0,27","144,25","0,00",NA,"590,27","31,61","0,41","440,93","63,13","41,11","207,36","0,05","2,42",Tr,Tr,"0,03","0,07","1,86",
"Manjuba, com farinha de trigo, frita",100,"343,55","23,45","22,59","5,46","5,36","10,43","7,62","2,61","281,76","10,24","0,36","763,31","46,90","0,36","577,94","304,13","36,52","319,27","0,15","3,77","29,94","0,05","0,07",Tr,"0,79",
"Manjuba, frita",100,"349,33","30,14","24,46","5,30","6,00","11,70","9,00","2,49","270,34","0,00",NA,"575,03","31,66","0,21","735,43","91,63","40,61","318,18","0,14","3,24","12,07","0,03","0,03",Tr,"7,27",
"Merluza, filé, assado",100,"121,91","26,60","0,92","0,20","0,10","0,30","0,04","0,26","90,97","0,00",NA,"35,91","20,27","0,03","273,20","37,13","119,95","363,57","0,03","0,89",Tr,"0,05",Tr,Tr,"7,97",
"Merluza, filé, cru",100,"89,13","16,61","2,02","0,90","0,50","0,40","0,05","0,21","57,18","0,00",NA,"20,40","27,02","0,01","184,57","18,67","79,50","339,53",Tr,"0,33",Tr,Tr,Tr,Tr,"1,34",
"Merluza, filé, frito",100,"191,63","26,93","8,50","1,40","2,09","4,27","3,07","1,15","109,10","0,00",NA,"35,63","38,14","0,02","278,93","38,33","89,96","446,62","0,03","0,56",Tr,"0,05",Tr,Tr,"0,77",
"Pescada, branca, crua",100,"110,88","16,26","4,59","0,80","2,40","0,90","0,09","0,79","50,77","0,00",NA,"15,74","19,20","0,01","135,85","16,33","76,17","261,40",Tr,"0,25","2,77",Tr,"0,04",Tr,"0,60",
"Pescada, branca, frita",100,"223,04","27,36","11,78","2,30","3,20","5,20","4,23","0,90","165,44","0,00",NA,"378,27","30,08","0,06","504,10","50,67","107,23","355,15","0,08","1,12","39,35","0,08","0,11",Tr,"8,07",
"Pescada, filé, com farinha de trigo, frito",100,"283,43","21,44","19,12","2,18","4,44","9,05","6,68","1,60","72,97","5,03",Tr,"26,43","28,40","0,07","216,37","93,73","90,51","216,37","0,03","0,43","17,50",Tr,"0,03",Tr,"0,60",
"Pescada, filé, cru",100,"107,21","16,65","4,00","0,90","2,30","0,30","0,05","0,27","64,84","0,00",NA,"13,55","22,80","0,01","141,25","17,33","77,50","253,06",Tr,"0,25","47,86",Tr,"0,05",Tr,"3,10",
"Pescada, filé, frito",100,"154,27","28,59","3,57","1,00","1,10","1,20","0,89","0,22","80,81","0,00",NA,"10,32","21,12",Tr,"203,71","32,03","114,91","248,64","0,03","0,61","4,22","0,14",Tr,Tr,"8,87",
"Pescada, filé, molho escabeche",100,"141,96","11,75","8,02","1,31","2,95","4,30","3,75","0,55","43,40","5,02","0,78","20,12","18,06","0,08","105,46","147,43","51,29","208,24","0,36","0,29","19,19",Tr,"0,03",Tr,"1,10","6,89"
"Pescadinha, crua",100,"76,41","15,48","1,14","0,30","0,20","0,40","0,02","0,34","83,61","0,00",NA,"331,60","33,78","0,07","326,82","54,70","120,34","303,83","0,10","0,55",Tr,"0,08",Tr,Tr,"6,60",
"Pintado, assado",100,"191,56","36,45","3,98","1,80","1,30","0,30","0,16","0,09","125,96","0,00",NA,"113,54","42,36","0,08","331,80","77,70","80,95","527,15","0,04","2,10","6,57","0,03",Tr,Tr,"6,63",
"Pintado, cru",100,"91,08","18,56","1,31","0,60","0,40","0,10","0,03","0,05","50,30","0,00",NA,"12,00","23,70","0,01","174,47","21,67","43,34","293,65","0,03","0,39",Tr,Tr,Tr,Tr,"4,95",
"Pintado, grelhado",90,"136,97","27,72","2,06","0,99","0,63","0,18","0,10","0,03","89,37","0,00",NA,"62,08","24,07","0,03","213,56","42,78","47,78","324,14","0,03","0,68","4,62","0,03",Tr,Tr,"2,58",
"Porquinho, cru",100,"93,02","20,49","0,61","0,40","0,10",Tr,"0,02",Tr,"48,61","0,00",NA,"25,88","24,35","0,05","207,30","38,67","66,73","313,42","0,04","0,66","4,65",Tr,Tr,Tr,"1,19",
"Salmão, filé, com pele, fresco,  grelhado",100,"228,73","23,92","14,04","3,14","4,36","6,97","3,08","3,42","85,31","0,00",NA,"28,76","27,79","0,02","299,72","54,37","85,14","383,94","0,04","0,56",Tr,"0,13","0,06",Tr,"5,35",
"Salmão, sem pele, fresco, cru",100,"169,78","19,25","9,71","2,47","2,90","3,13","1,78","1,13","53,03","0,00",NA,"8,75","27,42",Tr,"258,80","24,00","64,24","376,50","0,02","0,34",Tr,"0,20","0,03",Tr,"3,21",
"Salmão, sem pele, fresco, grelhado",100,"242,71","26,14","14,53","3,58","4,15","4,98","2,51","2,15","72,82","0,00",NA,"15,09","37,86","0,01","352,16","37,27","95,81","517,90","0,04","0,50",Tr,"0,23","0,03",Tr,"6,30",
"Sardinha, assada",100,"164,35","32,18","2,99","1,70","0,50","0,30","0,06","0,25","108,99","0,00",NA,"437,73","51,36","0,24","577,78","125,10","74,47","574,34","0,14","1,82",Tr,"0,06",Tr,Tr,"5,83",
"Sardinha, conserva em óleo",100,"284,98","15,94","24,05","4,10","5,50","11,90","9,87","1,95","72,57","0,00",NA,"550,24","35,27","0,11","496,37","353,73","665,84","367,13","0,03","1,64",Tr,"0,42","0,04",Tr,"6,55",
"Sardinha, frita",100,"257,04","33,38","12,69","2,60","3,10","6,10","5,16","0,89","102,87","0,00",NA,"482,07","38,83","0,25","628,76","112,37","60,10","459,94","0,14","1,64",Tr,"0,06",Tr,Tr,"7,10",
"Sardinha, inteira, crua",100,"113,90","21,08","2,65","1,70","0,50","0,20","0,04","0,11","60,50","0,00",NA,"167,33","28,53","0,10","293,90","133,67","60,39","312,37","0,13","1,29",Tr,Tr,"0,07",Tr,"7,70",
"Tucunaré, filé, congelado, cru",100,"87,69","17,96","1,22","0,60","0,40","0,40","0,19","0,16","46,90","-0,05",NA,"19,22","25,64","0,01","167,87","26,93","56,55","288,06","0,10","0,44",Tr,Tr,"0,05",Tr,"0,90",
Carnes e derivados,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apresuntado,100,"128,86","13,45","6,69","1,93","2,59","1,13","1,00","0,04","37,67","2,86",NA,"22,58","15,26","0,04","225,39","0,88","942,93","270,07","0,03","1,65",Tr,"0,62","0,04",Tr,"0,70",Tr
"Caldo de carne, tablete",100,"240,62","7,82","16,57","7,80","2,50","0,10","0,13",,Tr,"15,05","0,58","129,03","22,06","0,02","123,04",Tr,"22179,67","218,15",Tr,Tr,Tr,"0,70","0,07","0,27",Tr,
"Caldo de galinha, tablete",100,"251,45","6,28","20,42","9,40","3,20","0,20","0,25",,"2,11","10,65","11,81","16,36","12,79","0,13","48,06","0,69","22299,90","68,03",Tr,"0,26",Tr,"0,05","0,04",Tr,*,
"Carne, bovina, acém, moído, cozido",100,"212,42","26,69","10,92","4,80","4,60","0,30","0,24","0,02","103,13","0,00",NA,"4,03","17,07","0,01","164,44","2,65","52,36","255,71","0,06","8,10",Tr,Tr,"0,32",Tr,"1,76",
"Carne, bovina, acém, moído, cru",100,"136,56","19,42","5,95","2,70","2,40","0,10","0,13","0,01","57,94","0,00",NA,"2,61","14,14",Tr,"157,61","1,76","48,61","237,30","0,08","6,33","2,32","0,15","0,21","0,03","4,33",
"Carne, bovina, acém, sem gordura, cozido",80,"171,69","21,82","8,71","4,40","2,96","0,24","0,18","0,02","85,40","0,00",NA,"5,69","11,55",Tr,"131,36","1,89","44,94","203,54","0,06","6,38",Tr,Tr,"0,03","0,06","1,30",
"Carne, bovina, acém, sem gordura, cru",100,"144,03","20,82","6,11","2,80","2,30","0,20","0,16","0,03","53,37","0,00",NA,"4,72","13,28",Tr,"144,19","1,51","49,85","233,65","0,04","5,21","2,17","0,12","0,12",Tr,"2,33",
"Carne, bovina, almôndegas, cruas",100,"189,26","12,31","11,20","3,90","3,50","0,90","0,83","0,09","33,60","9,79",*,"22,23","23,75","0,17","144,93","1,56","621,25","328,24","0,15","2,33",Tr,"0,11","0,04",Tr,"2,20", 
"Carne, bovina, almôndegas, fritas",100,"271,81","18,16","15,78","4,20","5,00","5,50","4,92","0,52","36,38","14,29",*,"26,76","48,12","0,41","244,30","1,91","1030,26","536,10","0,19","2,61",Tr,"0,13","0,07",Tr,"6,60",
"Carne, bovina, bucho, cozido",100,"133,02","21,64","4,50","2,40","1,40","0,10","0,08","0,01","245,47","0,00",NA,"13,21","7,41","0,01","62,63","0,58","38,20","69,81","0,05","2,49",Tr,Tr,Tr,Tr,"2,18",
"Carne, bovina, bucho, cru",100,"137,30","20,53","5,50","3,30","1,40","0,10","0,10","0,01","144,90","0,00",NA,"9,07","6,40","0,01","61,42","0,47","45,00","84,57","0,06","2,13",Tr,Tr,Tr,Tr,"2,13",
"Carne, bovina, capa de contra-filé, com gordura, crua",100,"216,91","19,20","14,96","6,90","6,20","0,10","0,15",,"62,81","0,00",NA,"5,86","17,45","0,01","144,19","1,51","57,54","266,89","0,06","3,54","3,76","0,09","0,09","0,12","1,55",
"Carne, bovina, capa de contra-filé, com gordura, grelhada",100,"311,70","30,69","20,03","8,80","8,70","0,30","0,26","0,02","120,43","0,00",NA,"7,26","18,38",Tr,"213,63","2,59","80,51","323,45","0,13","6,20",Tr,Tr,"0,06",Tr,"1,74",
"Carne, bovina, capa de contra-filé, sem gordura, crua",100,"131,06","21,54","4,33","1,90","1,90","0,10","0,08",Tr,"58,35","0,00",NA,"6,50","19,59",Tr,"178,23","2,04","79,17","325,43","0,06","4,59",Tr,Tr,"0,04",Tr,"1,81",
"Carne, bovina, capa de contra-filé, sem gordura, grelhada",100,"239,44","35,06","9,95","4,30","4,30","0,20","0,20","0,04","80,29","-0,01",NA,"8,84","25,61","0,01","287,38","2,84","82,75","384,84","0,12","7,64",Tr,"0,03","0,08",Tr,"1,86",
"Carne, bovina, charque, cozido",100,"262,78","36,36","11,92","4,80","5,40","0,40","0,25","0,11","113,43","0,00",NA,"14,85","12,81","0,02","100,90","3,45","1442,70","89,57","0,07","6,09",Tr,"0,05","0,07",Tr,"1,50",
"Carne, bovina, charque, cru",100,"248,86","22,71","16,84","8,70","6,60","0,20","0,16",,"80,69","0,00",NA,"15,18","13,36",Tr,"122,29","1,53","5875,03","236,26","0,03","3,89",Tr,"0,12","0,07",Tr,"1,63",
"Carne, bovina, contra-filé, à milanesa",100,"351,59","20,61","24,00","7,24","8,08","6,90","6,27","0,63","99,36","12,17","0,37","14,67","27,04","0,27","202,95","2,90","77,09","270,96","0,10","2,86","15,08","0,07","0,04",Tr,"3,02",
"Carne, bovina, contra-filé de costela, cru",100,"202,44","19,80","13,07","6,70","4,60","0,10","0,13",,"52,31","0,00",NA,"3,16","14,00",Tr,"163,85","1,56","38,52","245,07","0,04","4,35","3,05","0,14","0,08",Tr,"2,68",
"Carne, bovina, contra-filé de costela, grelhado",100,"274,91","29,88","16,33","8,80","5,60","0,20","0,19","0,03","97,87","0,00",NA,"4,29","23,57","0,01","251,89","2,79","50,88","382,74","0,08","6,68",Tr,Tr,"0,19","0,17","2,75",
"Carne, bovina, contra-filé, com gordura, cru",100,"205,86","21,15","12,81","5,60","5,50","0,20","0,17","0,05","72,65","0,00",NA,"3,67","18,16","0,01","164,20","1,31","44,13","284,65","0,04","2,79","3,59","0,11","0,08","0,03","3,79",
"Carne, bovina, contra-filé, com gordura, grelhado",80,"222,44","25,92","12,39","5,92","5,04","0,16","0,12","0,02","115,09","0,00",NA,"3,57","14,93",Tr,"174,83","1,88","45,65","281,49","0,07","3,82",Tr,Tr,"0,15","0,10","3,93",
"Carne, bovina, contra-filé, sem gordura, cru",100,"156,62","24,00","6,00","2,70","2,60","0,10","0,11","0,01","59,46","0,00",NA,"4,20","20,63",Tr,"183,82","1,68","52,89","334,62","0,05","3,24",Tr,Tr,"0,20",Tr,"4,64",
"Carne, bovina, contra-filé, sem gordura, grelhado",100,"193,69","35,88","4,49","2,03","1,90","0,10","0,08","0,01","101,90","0,00",NA,"5,00","21,06",Tr,"240,60","2,35","57,51","386,47","0,09","5,14",Tr,Tr,"0,17","0,16","4,93",
"Carne, bovina, costela, assada",90,"335,73","25,93","24,95","10,62","10,89","0,27","0,14","0,14","85,13","0,00",NA,"25,21","17,59",Tr,"161,15","1,96","82,67","243,01","0,08","4,91",Tr,Tr,"0,08","0,32","0,50",
"Carne, bovina, costela, crua",100,"357,72","16,71","31,75","14,90","12,70","0,30","0,15","0,12","44,19","0,00",NA,*,"11,68",Tr,"129,97","1,20","70,00","151,16",Tr,"2,70","4,57","0,12","0,11",Tr,"5,99",
"Carne, bovina, coxão duro, sem gordura, cozido",100,"216,62","31,88","8,92","3,50","4,10","0,20","0,13","0,02","71,10","0,00",NA,"3,98","13,79",Tr,"188,97","1,70","41,10","251,66","0,07","4,97","2,06",Tr,Tr,Tr,"3,26",
"Carne, bovina, coxão duro, sem gordura, cru",100,"147,97","21,51","6,22","2,86","2,40","0,10","0,06","0,01","59,98","0,00",NA,"2,95","21,11",Tr,"188,51","1,89","48,55","357,88","0,05","2,81","2,07","0,12","0,20",Tr,"4,38",
"Carne, bovina, coxão mole, sem gordura, cozido",70,"153,07","22,67","6,24","3,01","2,38","0,14","0,11","0,01","58,91","0,00",NA,"2,61","9,43",Tr,"127,87","1,79","30,45","166,95","0,08","3,29","1,73",Tr,Tr,Tr,"2,86",
"Carne, bovina, coxão mole, sem gordura, cru",100,"169,07","21,23","8,69","3,90","3,70","0,10","0,09","0,01","83,82","0,00",NA,"2,99","20,72",Tr,"175,40","1,89","60,53","334,90","0,05","2,63","2,61","0,12","0,19",Tr,"2,32",
"Carne, bovina, cupim, assado",100,"330,10","28,63","23,04","5,50","5,40","0,20","0,18","0,03","90,80","0,00",NA,"7,62","18,21",Tr,"212,27","2,70","71,59","321,07","0,08","5,29",Tr,Tr,"0,08","0,14","2,16",
"Carne, bovina, cupim, cru",100,"221,40","19,54","15,30","6,80","6,40","0,20","0,15","0,06","50,95","0,00",NA,"3,57","12,76",Tr,"220,13","1,13","46,86","150,58","0,03","2,42","2,70","0,11","0,05","0,03","3,33",
"Carne, bovina, fígado, cru",100,"141,05","20,71","5,36","2,79","1,50","0,10","0,05",Tr,"392,88","1,11",NA,"4,16","12,42","0,26","334,16","5,63","75,92","264,50","9,01","3,46","7936,70","0,14","0,90",Tr,"10,66",
